cluster_hard_2.7,mu_2.7_0,mu_2.7_1,mu_2.7_2,_maxu,_second,_margin
0,0.4597387142102513,0.1563254865464698,0.3839357992432788,0.4597387142102513,0.3839357992432788,0.0758029149669725
0,0.4599408366571798,0.2170514349225401,0.3230077284202801,0.4599408366571798,0.3230077284202801,0.1369331082368997
0,0.4605302527428587,0.2166405500826691,0.3228291971744722,0.4605302527428587,0.3228291971744722,0.13770105556838647
2,0.4254841258214777,0.1137194498383027,0.4607964243402196,0.4607964243402196,0.4254841258214777,0.0353122985187419
0,0.4610632632522572,0.1069116969379016,0.4320250398098409,0.4610632632522572,0.4320250398098409,0.0290382234424163
2,0.4051287802738265,0.1337513489179644,0.461119870808209,0.461119870808209,0.4051287802738265,0.055991090534382504
0,0.4611507529352852,0.1619705297609238,0.376878717303791,0.4611507529352852,0.376878717303791,0.08427203563149416
2,0.3841789536946549,0.1536561522059709,0.4621648940993741,0.4621648940993741,0.3841789536946549,0.07798594040471923
0,0.4621849516750119,0.2153848924439305,0.3224301558810575,0.4621849516750119,0.3224301558810575,0.1397547957939544
2,0.3641422998898985,0.1736614349128484,0.4621962651972529,0.4621962651972529,0.3641422998898985,0.09805396530735438
0,0.4627395195238019,0.2132777458166604,0.3239827346595376,0.4627395195238019,0.3239827346595376,0.1387567848642643
2,0.3819422274742714,0.1551145167902626,0.4629432557354659,0.4629432557354659,0.3819422274742714,0.08100102826119449
2,0.4188278450508859,0.1181709650120159,0.4630011899370981,0.4630011899370981,0.4188278450508859,0.04417334488621222
2,0.3690959301966073,0.1675128030419257,0.4633912667614668,0.4633912667614668,0.3690959301966073,0.0942953365648595
0,0.4633974748368433,0.0896610354257635,0.4469414897373933,0.4633974748368433,0.4469414897373933,0.01645598509945001
2,0.3755996728092354,0.1609402158866167,0.4634601113041478,0.4634601113041478,0.3755996728092354,0.08786043849491243
0,0.4640832483267969,0.1290163570327262,0.4069003946404769,0.4640832483267969,0.4069003946404769,0.057182853686320034
0,0.4647383180708407,0.2134761120226635,0.3217855699064956,0.4647383180708407,0.3217855699064956,0.1429527481643451
2,0.4016988617649084,0.132764470983559,0.4655366672515325,0.4655366672515325,0.4016988617649084,0.0638378054866241
0,0.4656185569224929,0.1687683386424773,0.3656131044350298,0.4656185569224929,0.3656131044350298,0.10000545248746306
1,0.2701274612717265,0.4656502167200469,0.2642223220082264,0.4656502167200469,0.2701274612717265,0.19552275544832043
2,0.3814163135751088,0.1527914593819248,0.4657922270429665,0.4657922270429665,0.3814163135751088,0.08437591346785772
